miRNA_ID	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13
hsa-let-7g	1317	307.529858	740	286.63517	680	337.443863	897	482.330414	791	310.648285	818	346.63558	1548	520.780067	545	269.626056	610	210.245432	1049	338.913834	958	345.832644	1805	505.866227	1137	360.093985	606	261.050941
hsa-let-7i	1787	417.278555	1298	502.773583	976	484.331191	1143	614.60832	1181	463.81242	837	354.687017	1645	553.412926	804	397.760273	1338	461.161292	1711	552.794634	1628	587.698899	1971	552.389104	1660	525.730885	1114	479.885723
hsa-mir-1-1	1	0.233508	0	0	0	0	0	0	1	0.392729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1-2	131	30.58953	82	31.762276	119	59.052676	83	44.63035	47	18.458242	26	11.017757	36	12.111164	34	16.820708	9	3.101982	67	21.646546	11	3.970939	58	16.254981	25	7.917634	35	15.0772
hsa-mir-100	40296	9409.432924	33713	13058.556079	27614	13703.198273	10819	5817.539298	27080	10635.089197	18914	8014.994319	35904	12078.867902	15753	7793.429831	36466	12568.540873	36529	11801.89081	24724	8925.225784	32426	9087.655547	38608	12227.360239	32223	13880.931478
hsa-mir-101-1	54221	12661.029942	25831	10005.50417	29672	14724.462199	24374	13106.267015	44300	17397.874867	23109	9792.667005	68668	23101.373137	34189	16914.21142	80833	27860.27709	46189	14922.870448	40567	14644.460216	62594	17542.487859	33914	10740.745315	40912	17623.953965
hsa-mir-101-2	500	116.753932	305	118.140172	252	125.052726	427	229.604333	229	89.934838	135	57.207583	407	136.923441	176	87.071901	358	123.389942	325	105.001903	218	78.696781	560	156.944646	381	120.664739	284	122.340705
hsa-mir-103a-1	47685	11134.822538	23768	9206.411796	19217	9536.262809	23556	12666.416091	25658	10076.629195	27399	11610.596878	26760	9002.63216	21030	10404.10267	30551	10529.849509	30312	9793.285177	32284	11654.343521	30011	8410.831759	52267	16553.238645	19515	8406.615703
hsa-mir-103a-2	8	1.868063	8	3.098759	10	4.96241	4	2.15086	20	7.854571	14	5.932638	20	6.728425	6	2.96836	27	9.305945	11	3.553911	17	6.136905	28	7.847232	18	5.700696	9	3.876994
hsa-mir-103b-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-103b-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.323083	0	0	0	0	0	0	0	0
hsa-mir-105-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.646166	0	0	0	0	0	0	0	0
hsa-mir-106a	23	5.370681	17	6.584862	22	10.917301	24	12.905162	37	14.530956	34	14.407836	40	13.456849	20	9.894534	69	23.78186	27	8.723235	45	16.244748	45	12.611623	35	11.084687	13	5.600103
hsa-mir-106b	1191	278.107867	909	352.096446	870	431.729648	656	352.741083	927	364.059368	1166	494.104017	1216	409.088218	885	437.833137	892	307.440862	1284	414.838287	1397	504.30919	1368	383.393351	1213	384.163592	865	372.622218
hsa-mir-107	98	22.883771	67	25.952103	76	37.714314	65	34.951479	83	32.59647	89	37.714629	88	29.605068	54	26.715242	112	38.60244	87	28.108202	99	35.738447	103	28.866605	129	40.85499	65	28.000513
hsa-mir-10a	113483	26499.173032	117280	45427.801055	78093	38752.946431	31499	16937.48686	69507	27297.383485	51657	21890.163982	72494	24388.520769	48566	24026.897302	98214	33850.89325	124045	40076.803238	54950	19836.64281	115194	32284.074294	119707	37911.847599	110019	47393.669127
hsa-mir-10b	1042924	243530.956488	956147	370358.592218	547552	271717.738134	290840	156389.049755	716322	281320.102047	657754	278729.754342	682564	229629.021579	430904	213179.717392	486973	167842.375208	739203	238823.758991	641947	231739.278286	929577	260521.667189	935537	296289.575105	643337	277134.866842
hsa-mir-1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1179	0	0	0	0	0	0	0	0	0	0	2	0.84752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1180	31	7.238744	15	5.810172	15	7.443615	8	4.301721	10	3.927286	25	10.593997	16	5.38274	24	11.873441	37	12.752592	34	10.984814	26	9.385855	10	2.802583	21	6.650812	29	12.492537
hsa-mir-1181	0	0	1	0.387345	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	0	0	0	0	0	0	0	0	0	0
hsa-mir-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1185-1	1	0.233508	1	0.387345	1	0.496241	0	0	0	0	3	1.27128	1	0.336421	1	0.494727	1	0.344665	2	0.646166	4	1.443978	3	0.840775	1	0.316705	1	0.430777
hsa-mir-1185-2	0	0	0	0	0	0	0	0	0	0	5	2.118799	0	0	1	0.494727	1	0.344665	0	0	1	0.360994	2	0.560517	0	0	1	0.430777
hsa-mir-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.430777
hsa-mir-1197	0	0	0	0	0	0	1	0.537715	1	0.392729	2	0.84752	0	0	0	0	0	0	1	0.323083	2	0.721989	1	0.280258	1	0.316705	1	0.430777
hsa-mir-1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-122	1	0.233508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1224	0	0	0	0	1	0.496241	1	0.537715	1	0.392729	1	0.42376	1	0.336421	0	0	3	1.033994	1	0.323083	0	0	0	0	0	0	0	0
hsa-mir-1225	0	0	1	0.387345	0	0	0	0	1	0.392729	0	0	0	0	1	0.494727	0	0	0	0	0	0	1	0.280258	0	0	0	0
hsa-mir-1226	0	0	0	0	1	0.496241	0	0	0	0	4	1.69504	0	0	0	0	2	0.689329	1	0.323083	0	0	2	0.560517	3	0.950116	0	0
hsa-mir-1227	0	0	1	0.387345	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	0	0	0	0	0	0	0	0	0	0
hsa-mir-1228	2	0.467016	6	2.324069	5	2.481205	0	0	3	1.178186	2	0.84752	0	0	1	0.494727	0	0	1	0.323083	0	0	1	0.280258	1	0.316705	0	0
hsa-mir-1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494727	1	0.344665	1	0.323083	1	0.360994	0	0	0	0	1	0.430777
hsa-mir-1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1233-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1233-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.646166	0	0	0	0	0	0	0	0
hsa-mir-1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.316705	0	0
hsa-mir-1238	0	0	0	0	1	0.496241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.316705	0	0
hsa-mir-124-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.280258	1	0.316705	1	0.430777
hsa-mir-1244-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1244-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1244-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1245a	20	4.670157	5	1.936724	8	3.969928	3	1.613145	13	5.105471	12	5.085119	10	3.364212	4	1.978907	5	1.723323	10	3.230828	14	5.053922	7	1.961808	11	3.483759	0	0
hsa-mir-1245b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.360994	0	0	0	0	0	0
hsa-mir-1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	0	0	0	0	0	0	0	0	0	0
hsa-mir-1247	861	201.050272	557	215.751067	134	66.496291	160	86.034411	348	136.669536	255	108.058769	127	42.725496	236	116.755503	199	68.588264	197	63.647307	259	93.497552	291	81.555165	433	137.133418	180	77.539884
hsa-mir-1248	3	0.700524	3	1.162034	0	0	7	3.764005	0	0	1	0.42376	10	3.364212	1	0.494727	4	1.378659	2	0.646166	3	1.082983	5	1.401291	3	0.950116	1	0.430777
hsa-mir-1249	4	0.934031	12	4.648138	5	2.481205	1	0.537715	8	3.141828	7	2.966319	7	2.354949	0	0	5	1.723323	9	2.907745	3	1.082983	9	2.522325	14	4.433875	6	2.584663
hsa-mir-1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1251	0	0	0	0	0	0	0	0	4	1.570914	0	0	0	0	2	0.989453	1	0.344665	5	1.615414	3	1.082983	0	0	0	0	0	0
hsa-mir-1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1254-1	0	0	0	0	0	0	0	0	0	0	1	0.42376	0	0	0	0	0	0	1	0.323083	0	0	0	0	1	0.316705	0	0
hsa-mir-1254-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.989453	0	0	0	0	2	0.721989	0	0	1	0.316705	0	0
hsa-mir-1255a	1	0.233508	0	0	1	0.496241	0	0	1	0.392729	0	0	0	0	1	0.494727	0	0	0	0	2	0.721989	2	0.560517	0	0	2	0.861554
hsa-mir-1255b-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1255b-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1256	0	0	1	0.387345	0	0	0	0	0	0	0	0	0	0	1	0.494727	0	0	0	0	0	0	1	0.280258	0	0	0	0
hsa-mir-1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1258	28	6.53822	36	13.944414	5	2.481205	61	32.800619	10	3.927286	9	3.813839	26	8.746952	9	4.45254	0	0	9	2.907745	6	2.165966	7	1.961808	20	6.334107	44	18.954194
hsa-mir-125a	2497	583.069139	2013	779.725132	1991	988.01578	538	289.290705	2894	1136.55643	2188	927.186612	2724	916.411435	1833	906.834056	3398	1171.170457	2199	710.45903	2050	740.03854	4519	1266.487245	3024	957.716985	2381	1025.680348
hsa-mir-125b-1	5063	1182.25032	4141	1603.99492	4115	2042.031611	917	493.084715	4158	1632.96532	3624	1535.705795	7302	2456.547834	2277	1126.492714	4280	1475.164672	4914	1587.628773	4670	1685.843893	8079	2264.206784	6472	2049.71704	3273	1409.933548
hsa-mir-125b-2	306	71.453407	160	61.975172	127	63.022604	67	36.026909	231	90.720296	207	87.718295	255	85.787414	134	66.293379	205	70.656252	251	81.093777	268	96.746502	251	70.344833	281	88.994204	160	68.924341
hsa-mir-126	8725	2037.356121	11049	4279.772969	8842	4387.762698	3692	1985.244023	12708	4990.794443	10049	4258.363007	15134	5091.39892	4300	2127.324844	12172	4195.258035	11592	3745.175566	8922	3220.792123	20389	5714.186423	12093	3829.917824	8927	3845.547445
hsa-mir-1260a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1260b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	0	0	0	0	0	0	0	0	0	0
hsa-mir-1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1262	10	2.335079	5	1.936724	3	1.488723	4	2.15086	14	5.4982	4	1.69504	9	3.027791	9	4.45254	4	1.378659	10	3.230828	11	3.970939	11	3.082841	7	2.216937	8	3.446217
hsa-mir-1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.323083	0	0	0	0	0	0	0	0
hsa-mir-1266	32	7.472252	31	12.00769	6	2.977446	17	9.141156	32	12.567314	24	10.170237	15	5.046318	26	12.862894	25	8.616616	33	10.661732	33	11.912816	21	5.885424	29	9.184455	10	4.307771
hsa-mir-1267	0	0	0	0	0	0	0	0	0	0	0	0	1	0.336421	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1268a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1268b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1269a	13	3.035602	0	0	1	0.496241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4.203874	11	3.483759	2	0.861554
hsa-mir-1269b	0	0	1	0.387345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.646166	0	0	0	0	0	0	1	0.430777
hsa-mir-127	4699	1097.253457	1728	669.331857	2146	1064.933132	1734	932.397924	3733	1466.055686	7432	3149.383408	2654	892.861949	2645	1308.552143	3732	1286.288448	8695	2809.204758	8216	2965.93007	6334	1775.156055	2730	864.605612	2101	905.062751
hsa-mir-1270-1	1	0.233508	0	0	1	0.496241	2	1.07543	3	1.178186	1	0.42376	4	1.345685	2	0.989453	1	0.344665	0	0	3	1.082983	1	0.280258	1	0.316705	0	0
hsa-mir-1270-2	3	0.700524	0	0	0	0	0	0	0	0	3	1.27128	2	0.672842	2	0.989453	0	0	0	0	3	1.082983	3	0.840775	1	0.316705	1	0.430777
hsa-mir-1271	6	1.401047	13	5.035483	12	5.954892	3	1.613145	26	10.210942	16	6.780158	29	9.756216	7	3.463087	32	11.029269	18	5.81549	17	6.136905	30	8.407749	7	2.216937	10	4.307771
hsa-mir-1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.323083	0	0	0	0	0	0	0	0
hsa-mir-1273d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1275	1	0.233508	1	0.387345	1	0.496241	0	0	0	0	0	0	3	1.009264	0	0	3	1.033994	2	0.646166	1	0.360994	0	0	3	0.950116	1	0.430777
hsa-mir-1276	0	0	0	0	0	0	1	0.537715	0	0	0	0	0	0	0	0	0	0	0	0	1	0.360994	0	0	0	0	0	0
hsa-mir-1277	0	0	3	1.162034	0	0	0	0	1	0.392729	0	0	1	0.336421	1	0.494727	2	0.689329	2	0.646166	0	0	2	0.560517	0	0	0	0
hsa-mir-1278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-128-1	160	37.361258	122	47.256069	87	43.172965	43	23.121748	125	49.091069	146	61.868942	78	26.240856	121	59.861932	211	72.72424	125	40.385347	163	58.842089	146	40.917711	192	60.807428	103	44.370044
hsa-mir-128-2	111	25.919373	63	24.402724	48	23.819567	29	15.593737	76	29.84737	94	39.833428	66	22.203801	66	32.651963	135	46.529727	88	28.431284	78	28.157564	66	18.497048	99	31.35383	53	22.831188
hsa-mir-1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1283-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1283-2	1	0.233508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1284	0	0	0	0	1	0.496241	1	0.537715	1	0.392729	0	0	0	0	1	0.494727	1	0.344665	1	0.323083	1	0.360994	0	0	0	0	1	0.430777
hsa-mir-1285-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1285-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1287	63	14.710995	52	20.141931	52	25.804531	98	52.696076	112	43.985598	114	48.308626	112	37.679178	49	24.241609	136	46.874391	120	38.769933	132	47.651262	164	45.962361	157	49.72274	73	31.446731
hsa-mir-1288	3	0.700524	0	0	0	0	0	0	1	0.392729	2	0.84752	4	1.345685	3	1.48418	0	0	2	0.646166	0	0	1	0.280258	1	0.316705	1	0.430777
hsa-mir-1289-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.989453	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1289-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-129-1	15	3.502618	2	0.77469	4	1.984964	2	1.07543	31	12.174585	26	11.017757	1	0.336421	6	2.96836	4	1.378659	12	3.876993	14	5.053922	24	6.726199	7	2.216937	4	1.723109
hsa-mir-129-2	26	6.071204	2	0.77469	5	2.481205	1	0.537715	22	8.640028	35	14.831596	1	0.336421	3	1.48418	4	1.378659	17	5.492407	16	5.775911	24	6.726199	8	2.533643	4	1.723109
hsa-mir-1290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.430777
hsa-mir-1291	1	0.233508	0	0	0	0	0	0	3	1.178186	2	0.84752	2	0.672842	2	0.989453	1	0.344665	1	0.323083	2	0.721989	4	1.121033	2	0.633411	2	0.861554
hsa-mir-1292	0	0	1	0.387345	0	0	0	0	0	0	1	0.42376	1	0.336421	0	0	1	0.344665	0	0	0	0	2	0.560517	1	0.316705	1	0.430777
hsa-mir-1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494727	0	0	0	0	0	0	0	0	1	0.316705	0	0
hsa-mir-1294	1	0.233508	1	0.387345	0	0	2	1.07543	0	0	0	0	0	0	0	0	0	0	1	0.323083	0	0	1	0.280258	0	0	0	0
hsa-mir-1295a	11	2.568587	7	2.711414	5	2.481205	1	0.537715	6	2.356371	9	3.813839	14	4.709897	12	5.93672	8	2.757317	12	3.876993	5	1.804972	21	5.885424	21	6.650812	5	2.153886
