miRNA_ID	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-A7-A0D9-11A-53R-A090-13	TCGA-A7-A0D9-11A-53R-A090-13	TCGA-A7-A0DB-11A-33R-A090-13	TCGA-A7-A0DB-11A-33R-A090-13	TCGA-A7-A0DC-11A-41R-A090-13	TCGA-A7-A0DC-11A-41R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped
hsa-mir-1275	1	0.233558	0	0	1	0.484806	4	2.356248	1	0.387495	1	0.496378	0	0	0	0	0	0	3	1.009598	0	0	3	1.034314	2	0.646304	1	0.361095	0	0	3	0.950497	1	0.430881
hsa-mir-1276	0	0	0	0	1	0.484806	0	0	0	0	0	0	1	0.537873	0	0	0	0	0	0	0	0	0	0	0	0	1	0.361095	0	0	0	0	0	0
hsa-mir-1277	0	0	1	0.465441	3	1.454419	0	0	3	1.162485	0	0	0	0	1	0.392815	0	0	1	0.336533	1	0.494878	2	0.689543	2	0.646304	0	0	2	0.560681	0	0	0	0
hsa-mir-1278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-128-1	160	37.369217	119	55.387428	141	68.357704	67	39.467158	122	47.27438	87	43.184858	43	23.128538	125	49.101829	146	61.899947	78	26.249546	121	59.880269	211	72.746781	125	40.393974	163	58.858407	146	40.929733	192	60.831818	103	44.38077
hsa-mir-128-2	111	25.924894	102	47.474938	105	50.904673	51	30.042165	63	24.41218	48	23.826129	29	15.598316	76	29.853912	94	39.85339	66	22.211154	66	32.661965	135	46.544149	88	28.437358	78	28.165373	66	18.502482	99	31.366406	53	22.836707
hsa-mir-1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1283-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1283-2	1	0.233558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1284	0	0	2	0.930881	2	0.969613	0	0	0	0	1	0.496378	1	0.537873	1	0.392815	0	0	0	0	1	0.494878	1	0.344771	1	0.323152	1	0.361095	0	0	0	0	1	0.430881
hsa-mir-1285-1	0	0	0	0	1	0.484806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1285-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1287	63	14.714129	104	48.405819	130	63.024833	82	48.303089	52	20.149736	52	25.81164	98	52.711552	112	43.995239	114	48.332835	112	37.691655	49	24.249035	136	46.88892	120	38.778215	132	47.664477	164	45.975864	157	49.742685	73	31.454332
hsa-mir-1288	3	0.700673	1	0.465441	3	1.454419	0	0	0	0	0	0	0	0	1	0.392815	2	0.847944	4	1.346131	3	1.484635	0	0	2	0.646304	0	0	1	0.280341	1	0.316832	1	0.430881
hsa-mir-1289-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.989757	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1289-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-129-1	15	3.503364	1	0.465441	0	0	4	2.356248	2	0.77499	4	1.985511	2	1.075746	31	12.177254	26	11.023278	1	0.336533	6	2.96927	4	1.379086	12	3.877821	14	5.055323	24	6.728175	7	2.217827	4	1.723525
hsa-mir-129-2	26	6.072498	2	0.930881	3	1.454419	2	1.178124	2	0.77499	5	2.481888	1	0.537873	22	8.641922	35	14.839028	1	0.336533	3	1.484635	4	1.379086	17	5.49358	16	5.777512	24	6.728175	8	2.534659	4	1.723525
hsa-mir-1290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.430881
hsa-mir-1291	1	0.233558	3	1.396322	0	0	0	0	0	0	0	0	0	0	3	1.178444	2	0.847944	2	0.673065	2	0.989757	1	0.344771	1	0.323152	2	0.722189	4	1.121363	2	0.633665	2	0.861763
hsa-mir-1292	0	0	1	0.465441	0	0	1	0.589062	1	0.387495	0	0	0	0	0	0	1	0.423972	1	0.336533	0	0	1	0.344771	0	0	0	0	2	0.560681	1	0.316832	1	0.430881
hsa-mir-1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494878	0	0	0	0	0	0	0	0	1	0.316832	0	0
hsa-mir-1294	1	0.233558	10	4.654406	9	4.363258	0	0	1	0.387495	0	0	2	1.075746	0	0	0	0	0	0	0	0	0	0	1	0.323152	0	0	1	0.280341	0	0	0	0
hsa-mir-1295	11	2.569134	2	0.930881	0	0	2	1.178124	7	2.712464	5	2.481888	1	0.537873	6	2.356888	9	3.81575	14	4.711457	12	5.938539	8	2.758172	12	3.877821	5	1.805473	21	5.887153	21	6.65348	5	2.154406
hsa-mir-1296	9	2.102018	5	2.327203	23	11.150547	8	4.712496	15	5.812424	11	5.460155	11	5.916603	11	4.320961	11	4.663695	28	9.422914	6	2.96927	25	8.619287	22	7.109339	19	6.860796	17	4.765791	22	6.970312	7	3.016169
hsa-mir-1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1298	1	0.233558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494878	1	0.344771	0	0	0	0	0	0	0	0	0	0
hsa-mir-1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1301	12	2.802691	19	8.843371	12	5.817677	10	5.890621	11	4.262444	12	5.956532	1	0.537873	11	4.320961	14	5.935611	9	3.028794	12	5.938539	6	2.068629	14	4.524125	16	5.777512	12	3.364088	10	3.168324	4	1.723525
hsa-mir-1302-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1304	0	0	1	0.465441	0	0	0	0	1	0.387495	0	0	0	0	0	0	1	0.423972	4	1.346131	0	0	17	5.861115	2	0.646304	0	0	0	0	0	0	2	0.861763
hsa-mir-1305	1	0.233558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.361095	0	0	0	0	0	0
hsa-mir-1306	6	1.401346	35	16.29042	43	20.846676	11	6.479683	6	2.32497	6	2.978266	3	1.613619	11	4.320961	9	3.81575	7	2.355728	7	3.464148	11	3.792486	13	4.200973	13	4.694229	12	3.364088	18	5.702983	7	3.016169
hsa-mir-1307	957	223.514626	1814	844.309198	1975	957.492659	1110	653.858887	754	292.171169	749	371.786885	366	196.861511	877	344.498435	1199	508.342714	714	240.284303	1100	544.366083	850	293.055751	1223	395.214639	1696	612.416307	500	140.170318	860	272.475852	524	225.78178
hsa-mir-130a	282	65.863244	110	51.198463	206	99.87012	92	54.19371	205	79.436458	181	89.844361	132	70.999234	307	120.594093	321	136.095088	661	222.448073	158	78.190765	452	155.836705	392	126.675502	406	146.604375	704	197.359808	300	95.049716	175	75.40422
hsa-mir-130b	17	3.970479	17	7.91249	42	20.361869	13	7.657807	17	6.587414	12	5.956532	8	4.302984	24	9.427551	20	8.479445	22	7.403718	22	10.887322	18	6.205886	27	8.725098	21	7.582985	24	6.728175	10	3.168324	10	4.308813
hsa-mir-132	280	65.396129	66	30.719078	132	63.994446	80	47.124965	107	41.461956	129	64.032721	101	54.325171	444	174.409698	1121	475.272879	204	68.652658	160	79.180521	179	61.714093	340	109.871609	886	319.929745	352	98.679904	233	73.821946	188	81.005677
hsa-mir-1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1323	1	0.233558	0	0	3	1.454419	4	2.356248	1	0.387495	1	0.496378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.280341	1	0.316832	0	0
hsa-mir-1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-133a-1	22	5.138267	21	9.774252	39	18.90745	29	17.0828	17	6.587414	26	12.90582	5	2.689365	6	2.356888	14	5.935611	15	5.04799	6	2.96927	10	3.447715	13	4.200973	4	1.444378	14	3.924769	5	1.584162	7	3.016169
hsa-mir-133a-2	0	0	0	0	1	0.484806	1	0.589062	0	0	0	0	1	0.537873	0	0	1	0.423972	0	0	0	0	1	0.344771	0	0	0	0	0	0	0	0	0	0
hsa-mir-133b	1	0.233558	0	0	2	0.969613	2	1.178124	4	1.54998	2	0.992755	1	0.537873	0	0	1	0.423972	0	0	0	0	3	1.034314	0	0	2	0.722189	0	0	1	0.316832	1	0.430881
hsa-mir-134	3131	731.268855	618	287.642274	2489	1206.683153	996	586.705812	1267	490.956062	1086	539.066165	2440	1312.410074	4300	1689.102929	4596	1948.576407	1822	613.162464	1485	734.894212	585	201.691311	4189	1353.682848	4943	1784.890216	2991	838.498843	1999	633.347939	1367	589.014682
hsa-mir-135a-1	22	5.138267	3	1.396322	1	0.484806	1	0.589062	7	2.712464	16	7.942043	4	2.151492	19	7.463478	101	42.821196	18	6.057587	29	14.351469	74	25.513089	205	66.246117	24	8.666268	63	17.66146	12	3.801989	10	4.308813
hsa-mir-135a-2	5	1.167788	0	0	0	0	0	0	0	0	1	0.496378	1	0.537873	3	1.178444	14	5.935611	0	0	2	0.989757	2	0.689543	19	6.139884	2	0.722189	2	0.560681	4	1.26733	1	0.430881
hsa-mir-135b	18	4.204037	4	1.861762	1	0.484806	5	2.94531	6	2.32497	20	9.927554	26	13.984698	45	17.676659	17	7.207528	57	19.18236	30	14.846348	29	9.998373	11	3.55467	48	17.332537	29	8.129878	28	8.871307	18	7.755863
hsa-mir-136	110	25.691336	17	7.91249	93	45.086996	22	12.959365	37	14.337312	61	30.279039	62	33.348125	164	64.4216	187	79.282809	126	42.403112	121	59.880269	167	57.576836	299	96.622385	183	66.080297	440	123.34988	63	19.96044	81	34.901382
hsa-mir-137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.009598	0	0	2	0.689543	0	0	3	1.083284	0	0	0	0	0	0
hsa-mir-138-1	2	0.467115	0	0	0	0	0	0	1	0.387495	0	0	0	0	2	0.785629	0	0	4	1.346131	2	0.989757	10	3.447715	0	0	1	0.361095	0	0	0	0	1	0.430881
hsa-mir-138-2	1	0.233558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1.723857	1	0.323152	0	0	0	0	0	0	0	0
hsa-mir-139	611	142.703696	1769	823.364372	1830	887.195729	1041	613.213605	1098	425.469421	617	306.265031	314	168.892116	666	261.614547	493	209.018313	480	161.535666	279	138.071034	564	194.45111	526	169.977841	465	167.908952	1016	284.826086	833	263.921377	816	351.599108
hsa-mir-140	4810	1123.412071	3384	1575.050896	3871	1876.685611	2713	1598.125369	4033	1562.767008	2797	1388.368382	2318	1246.789571	2640	1037.030636	2306	977.679982	3579	1204.450308	1691	836.839133	4435	1529.061477	3364	1087.082621	2826	1020.453116	3608	1011.469016	3819	1209.982882	3093	1332.715737
hsa-mir-141	1623	379.06399	6	2.792643	15	7.272096	486	286.284161	571	221.259599	743	368.808619	1171	629.849261	1959	769.523869	1601	678.779554	2292	771.332804	2159	1068.442158	5058	1743.854104	2206	712.872848	2247	811.379388	3602	1009.786972	1842	583.605255	1021	439.929766
hsa-mir-142	1846	431.147335	2668	1241.795446	4590	2225.26142	440	259.187306	659	255.359152	1409	699.396157	522	280.769696	1757	690.175313	587	248.871704	2624	883.061639	838	414.70798	2055	708.505374	1998	645.657276	1307	471.950539	2676	750.191543	921	291.802627	980	422.263635
hsa-mir-143	522270	121980.129386	141095	65671.337518	172432	83596.138808	157290	92653.571424	238752	92515.186895	235940	117115.350728	371707	199931.152258	205078	80557.639655	154383	65454.106065	339543	114267.301143	161592	79968.367382	190685	65742.748077	265851	85910.226494	174717	63089.351395	286085	80201.250936	224985	71282.53433	197737	85201.167688
hsa-mir-144	1582	369.488128	4376	2036.767943	3660	1774.391459	769	452.988724	438	169.722775	961	477.018954	1731	931.058131	515	202.299537	102	43.245168	344	115.767227	226	111.842486	567	195.485424	307	99.207599	130	46.942288	832	233.243409	171	54.178338	1112	479.139961
hsa-mir-145	9107	2127.009092	12013	5591.337592	16160	7834.471578	10004	5892.976849	10676	4136.895755	10438	5181.190264	3647	1961.622763	8861	3480.730478	9571	4057.838293	17830	6000.376917	3697	1829.564918	19343	6668.914577	8593	2776.843331	7668	2768.872786	14941	4188.569447	11309	3583.057452	5818	2506.86717
hsa-mir-1468	30	7.006728	22	10.239693	23	11.150547	20	11.781241	21	8.137393	26	12.90582	5	2.689365	32	12.570068	22	9.327389	46	15.480501	32	15.836104	39	13.446087	33	10.664009	23	8.305174	68	19.063163	65	20.594105	44	18.958775
hsa-mir-1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-146a	239	55.820267	130	60.507274	208	100.839733	75	44.179655	280	108.498577	228	113.174112	533	286.686299	211	82.883888	152	64.44378	399	134.276522	128	63.344417	144	49.647092	220	71.093394	353	127.466366	344	96.437179	328	103.921023	162	69.802764
hsa-mir-146b	3031	707.913095	411	191.296075	1369	663.699975	490	288.640409	622	241.02184	825	409.511589	972	522.812538	1942	762.846021	2320	983.615593	2336	786.14024	1214	600.782205	1328	457.856514	1821	588.459409	3687	1331.355498	2498	700.290909	2322	735.6848	448	193.034804
hsa-mir-147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-147b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2.068629	5	1.615759	1	0.361095	1	0.280341	1	0.316832	0	0
hsa-mir-148a	103824	24248.884587	26920	12529.6602	42791	20745.35107	17919	10555.403054	49035	19000.813352	49514	24577.644638	32426	17441.069291	68644	26964.367784	79169	33565.458134	102814	34600.266534	70522	34899.804474	112073	38639.573145	117929	38108.96743	79411	28674.876993	208785	58530.91975	47308	14988.70651	50134	21601.801084
hsa-mir-148b	331	77.307567	317	147.544661	591	286.520588	128	75.399944	189	73.23654	218	108.210335	196	105.423104	348	136.699493	317	134.3992	343	115.430694	317	156.876408	542	186.866138	396	127.968109	355	128.188555	825	231.281025	340	107.723011	253	109.012959
hsa-mir-149	148	34.566525	80	37.235246	84	40.723738	274	161.403004	151	58.511733	65	32.264549	135	72.612852	91	35.746132	213	90.306087	446	150.093556	93	46.023678	979	337.531271	131	42.332884	210	75.829849	221	61.955281	528	167.2875	167	71.95717
hsa-mir-150	1209	282.371142	2019	939.724515	1998	968.643206	1255	739.272885	1897	735.077861	1760	873.624724	296	159.210402	1141	448.201498	570	241.664176	1172	394.41625	565	279.606215	1092	376.490447	1390	449.180988	1082	390.704272	2050	574.698304	1823	577.585439	1265	545.064794
hsa-mir-151	8181	1910.734751	3815	1775.655782	5220	2530.689458	4007	2360.371675	5048	1956.074351	3871	1921.478014	4006	2154.719163	5124	2012.782188	5582	2366.613034	5068	1705.547404	4945	2447.172983	6785	2339.274435	6314	2040.380401	6192	2235.897273	6601	1850.52854	8913	2823.927055	5081	2189.307682
hsa-mir-152	928	216.741456	982	457.062642	1371	664.669587	410	241.515445	570	220.872104	560	277.971503	830	446.434574	821	322.500815	1013	429.483877	609	204.948376	520	257.336694	808	278.575349	1035	334.462103	874	315.596611	1427	400.046088	596	188.832102	625	269.300787
hsa-mir-153-1	0	0	0	0	4	1.939226	0	0	3	1.162485	0	0	1	0.537873	1	0.392815	2	0.847944	4	1.346131	0	0	4	1.379086	0	0	5	1.805473	6	1.682044	5	1.584162	0	0
hsa-mir-153-2	28	6.539613	17	7.91249	62	30.057997	12	7.068745	33	12.787332	47	23.329751	3	1.613619	31	12.177254	54	22.894501	90	30.287937	41	20.290009	112	38.614405	49	15.834438	81	29.248656	180	50.461315	62	19.643608	55	23.698469
hsa-mir-1537	1	0.233558	0	0	1	0.484806	0	0	0	0	1	0.496378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.361095	0	0	0	0	1	0.430881
hsa-mir-1538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.633665	0	0
hsa-mir-1539	0	0	0	0	1	0.484806	0	0	0	0	0	0	0	0	2	0.785629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-154	33	7.707401	12	5.585287	41	19.877063	18	10.603117	16	6.199919	15	7.445665	23	12.371079	49	19.247917	62	26.286279	42	14.134371	17	8.41293	53	18.272888	78	25.20584	62	22.38786	72	20.184526	28	8.871307	24	10.34115
hsa-mir-155	667	155.782921	134	62.369037	294	142.533084	141	83.05775	393	152.285503	256	127.072687	363	195.247892	247	97.025215	175	74.195142	558	187.785211	164	81.160034	442	152.38899	406	131.199627	335	120.966664	371	104.006376	399	126.416122	203	87.468896
hsa-mir-15a	236	55.119594	277	128.927038	365	176.954339	93	54.782772	100	38.749492	124	61.550833	86	46.257076	110	43.20961	150	63.595836	178	59.902809	102	50.477582	189	65.161808	125	40.393974	136	49.108855	228	63.917665	200	63.366477	142	61.185139
hsa-mir-15b	234	54.652479	414	192.692397	743	360.211162	125	73.632758	140	54.249289	163	80.909562	198	106.49885	185	72.670707	230	97.513615	208	69.998788	90	44.539043	482	166.179849	241	77.879581	160	57.775123	429	120.266133	307	97.267542	109	46.966057
hsa-mir-16-1	1311	306.194018	7459	3471.721227	8530	4135.398673	959	564.910516	885	342.933003	1098	545.022697	1212	651.902053	1174	461.164381	1178	499.439297	2041	686.863112	797	394.417971	1429	492.678433	1320	426.560363	962	347.372929	4355	1220.883471	1455	460.991121	1136	489.481111
hsa-mir-16-2	9	2.102018	68	31.649959	87	42.178158	9	5.301559	10	3.874949	7	3.474644	14	7.530222	10	3.928146	12	5.087667	17	5.721055	5	2.474391	7	2.4134	11	3.55467	6	2.166567	31	8.69056	10	3.168324	9	3.877931
hsa-mir-17	693	161.855419	870	404.933298	911	441.658639	406	239.159196	440	170.497764	473	234.786644	384	206.543225	788	309.537932	695	294.660706	876	294.80259	396	195.97179	957	329.946298	759	245.272209	857	309.458004	1052	294.918349	686	217.347017	549	236.553812
hsa-mir-181a-1	2179	508.922017	2453	1141.725723	2080	1008.397332	1597	940.73211	1555	602.554599	2191	1087.563505	1375	739.575349	2585	1015.425831	3059	1296.931077	2695	906.955457	2415	1195.130992	6784	2338.929664	3810	1231.208319	4493	1622.397682	4958	1389.928875	3383	1071.843961	1980	853.144895
hsa-mir-181a-2	2070	483.464238	1320	614.381555	1221	591.948626	1242	731.615079	1734	671.916189	1394	691.950491	1214	652.977799	2539	997.356358	3219	1364.766635	2323	781.765316	1528	756.173977	3965	1367.018885	3463	1119.074648	1804	651.414516	2660	745.706093	2728	864.318749	1409	607.111695
hsa-mir-181b-1	331	77.307567	225	104.724129	213	103.263765	200	117.812412	217	84.086397	256	127.072687	152	81.756693	383	150.448005	440	186.547785	420	141.343708	451	223.190094	1064	366.836846	568	183.550217	672	242.655518	822	230.440003	428	135.604261	232	99.964452
hsa-mir-181b-2	0	0	2	0.930881	7	3.393645	2	1.178124	2	0.77499	2	0.992755	2	1.075746	8	3.142517	6	2.543833	9	3.028794	1	0.494878	7	2.4134	6	1.938911	6	2.166567	13	3.644428	3	0.950497	2	0.861763
hsa-mir-181c	143	33.398737	56	26.064672	43	20.846676	81	47.714027	98	37.974502	124	61.550833	125	67.234123	181	71.099449	226	95.817726	238	80.094768	161	79.675399	446	153.768076	255	82.403706	220	79.440795	327	91.671388	190	60.198153	133	57.307208
hsa-mir-181d	39	9.108747	23	10.705133	5	2.424032	15	8.835931	13	5.037434	25	12.409442	19	10.219587	58	22.783249	58	24.59039	43	14.470903	43	21.279765	78	26.892175	52	16.803893	57	20.582388	70	19.623845	47	14.891122	49	21.113182
hsa-mir-182	89894	20995.427176	24393	11353.491875	11038	5351.293148	14845	8744.626281	22088	8558.98777	15960	7922.187834	27789	14946.952277	29869	11732.980324	61117	25911.911288	43420	14612.247096	97536	48268.445721	71694	24718.04589	70876	22903.70626	73383	26498.199222	38411	10768.164181	46454	14718.131652	37085	15979.231523
hsa-mir-1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-183	18606	4345.572764	5861	2727.947193	2296	1113.115516	3253	1916.218881	4111	1592.991612	3011	1494.593206	4251	2286.498043	7147	2807.446194	13789	5846.153194	8061	2712.789586	27343	13531.456194	14503	5000.220654	14486	4681.176828	19430	7016.06654	7692	2156.380174	14735	4668.525205	7345	3164.822854
hsa-mir-184	18	4.204037	0	0	2	0.969613	4	2.356248	1	0.387495	3	1.489133	1	0.537873	8	3.142517	6	2.543833	8	2.692261	48	23.754156	4	1.379086	2	0.646304	36	12.999403	6	1.682044	23	7.287145	1	0.430881
hsa-mir-185	290	67.731705	843	392.366402	835	404.813352	159	93.660868	152	58.899228	146	72.471142	156	83.908185	156	61.279083	125	52.99653	112	37.691655	147	72.747104	122	42.06212	129	41.686581	136	49.108855	186	52.143358	179	56.712997	213	91.777708
hsa-mir-186	732	170.964165	765	356.062038	1460	707.817358	359	211.47328	611	236.759395	576	285.913546	334	179.649576	568	223.118713	595	252.263482	911	306.581232	435	215.272042	1256	433.032968	780	252.058396	721	260.34915	1236	346.501026	947	300.040269	468	201.65243
hsa-mir-187	11	2.569134	2	0.930881	2	0.969613	2	1.178124	3	1.162485	2	0.992755	7	3.765111	9	3.535332	16	6.783556	27	9.086381	24	11.877078	39	13.446087	10	3.231518	352	127.105271	8	2.242725	23	7.287145	3	1.292644
hsa-mir-188	0	0	0	0	1	0.484806	0	0	0	0	1	0.496378	0	0	2	0.785629	1	0.423972	3	1.009598	1	0.494878	12	4.137258	1	0.323152	2	0.722189	2	0.560681	0	0	2	0.861763
hsa-mir-18a	14	3.269806	17	7.91249	36	17.453031	9	5.301559	6	2.32497	7	3.474644	9	4.840857	6	2.356888	8	3.391778	16	5.384522	5	2.474391	9	3.102943	9	2.908366	16	5.777512	11	3.083747	7	2.217827	5	2.154406
